232
496	6950.2755 	5032.6898 	1975.8653  1
500	7007.1429 	5672.9931 	-1450.0270 1
501	7016.9603 	5673.4916 	-831.9031  1
502	7014.4319 	5676.7581 	-232.6522  1
503	7014.5824 	5674.4631 	369.2628   1
504	7015.7931 	5676.1037 	968.2414   1
505	7014.5842 	5682.7849 	1567.5410  1
506	6948.3192 	5683.7395 	1964.0478  1
510	7007.1389 	6106.0708 	-1452.7045 1
511	7016.7883 	6113.3991 	-832.1167  1
512	7014.4052 	6104.2735 	-231.4137  1
514	7015.4732 	6101.8954 	966.9331   1
515	7014.6306 	6100.3860 	1566.3293  1
